nlc,station,note,entry_weekday,entry_saturday,entry_sunday,exit_weekday,exit_saturday,exit_sunday,annual_entry_exit_million,borough,year,total_weekday,total_weekend
706,Southgate                          , ,7815.0,5411.0,3320.0,7840.0,5222.0,3434.0,4.912117,,2011,15655.0,17387.0
784,Southwark                          , ,19234.0,7364.0,4532.0,19284.0,7669.0,4624.0,11.066974,,2011,38518.0,24189.0
695,St. James's Park                   , ,23888.0,5893.0,4089.0,25029.0,6086.0,4345.0,13.496515,,2011,48917.0,20413.0
696,St. John's Wood                    , ,10708.0,6797.0,4869.0,10887.0,6699.0,4900.0,6.741698,,2011,21595.0,23265.0
697,St. Paul's                         , ,28452.0,15173.0,10776.0,28264.0,14137.0,9753.0,17.084479,,2011,56716.0,49839.0
713,Stamford Brook                     , ,4297.0,2575.0,1560.0,3987.0,2159.0,1500.0,2.52256,,2011,8284.0,7794.0
714,Stanmore                           , ,4841.0,2964.0,2130.0,4903.0,2873.0,2150.0,3.021276,,2011,9744.0,10117.0
715,Stepney Green                      , ,7691.0,3954.0,2981.0,6814.0,3244.0,2674.0,4.377706,,2011,14505.0,12853.0
716,Stockwell                          , ,14805.0,10085.0,6986.0,11214.0,8428.0,6341.0,8.331776,,2011,26019.0,31840.0
717,Stonebridge Park                   , ,4232.0,2599.0,1607.0,4214.0,2487.0,1603.0,2.5907,,2011,8446.0,8296.0
719,Stratford                          , ,70198.0,81848.0,51574.0,66657.0,75104.0,46485.0,48.5713,,2011,136855.0,255011.0
720,Sudbury Hill                       , ,3321.0,2025.0,1276.0,3218.0,1891.0,1238.0,2.006325,,2011,6539.0,6430.0
721,Sudbury Town                       , ,3502.0,2454.0,1695.0,3024.0,1882.0,1345.0,2.05591,,2011,6526.0,7376.0
